id,name_id,name,node,node_name,carrier,type,pmax,encost,area
1,Denmark_PV,Denmark_PV,1,Denmark,pv,pv,11700,0.01,1
2,Estonia_PV,Estonia_PV,2,Estonia,pv,pv,1200,0.01,2
3,Finland_PV,Finland_PV,3,Finland,pv,pv,2800,0.01,1
4,Latvia_PV,Latvia_PV,4,Latvia,pv,pv,531,0.01,2
5,Lithuania_PV,Lithuania_PV,5,Lithuania,pv,pv,5095,0.01,2
6,Sweden_PV,Sweden_PV,6,Sweden,pv,pv,6446,0.01,1
7,Norway_PV,Norway_PV,7,Norway,pv,pv,5390,0.01,1
8,Denmark_Wind,Denmark_Wind,1,Denmark,wind,wind,19480,0.015,1
9,Estonia_Wind,Estonia_Wind,2,Estonia,wind,wind,1310,0.015,2
10,Finland_Wind,Finland_Wind,3,Finland,wind,wind,7200,0.015,1
11,Latvia_Wind,Latvia_Wind,4,Latvia,wind,wind,1700,0.015,2
12,Lithuania_Wind,Lithuania_Wind,5,Lithuania,wind,wind,5030,0.015,2
13,Sweden_Wind,Sweden_Wind,6,Sweden,wind,wind,23400,0.015,1
14,Norway_Wind,Norway_Wind,7,Norway,wind,wind,5980,0.015,1
15,Denmark_Wind_offshore,Denmark_Wind_offshore,1,Denmark,wind,offshore,12900,0.015,1
16,Estonia_Wind_offshore,Estonia_Wind_offshore,2,Estonia,wind,offshore,1000,0.015,2
17,Finland_Wind_offshore,Finland_Wind_offshore,3,Finland,wind,offshore,1000,0.015,1
18,Latvia_Wind_offshore,Latvia_Wind_offshore,4,Latvia,wind,offshore,500,0.015,2
19,Lithuania_Wind_offshore,Lithuania_Wind_offshore,5,Lithuania,wind,offshore,1400,0.015,2
20,Sweden_Wind_offshore,Sweden_Wind_offshore,6,Sweden,wind,offshore,1500,0.015,1
21,Norway_Wind_offshore,Norway_Wind_offshore,7,Norway,wind,offshore,3190,0.015,1
22,Denmark_ROR,Denmark_ROR,1,Denmark,hydro,ror,0,1,1
23,Estonia_ROR,Estonia_ROR,2,Estonia,hydro,ror,0,1,2
24,Finland_ROR,Finland_ROR,3,Finland,hydro,ror,3153,1,1
25,Latvia_ROR,Latvia_ROR,4,Latvia,hydro,ror,1578,1,2
26,Lithuania_ROR,Lithuania_ROR,5,Lithuania,hydro,ror,128,1,2
27,Sweden_ROR,Sweden_ROR,6,Sweden,hydro,ror,0,1,1
28,Norway_ROR,Norway_ROR,7,Norway,hydro,ror,6677,1,1
29,Denmark_RESERVOIR,Denmark_RESERVOIR,1,Denmark,hydro,reservoir,0,1,1
30,Estonia_RESERVOIR,Estonia_RESERVOIR,2,Estonia,hydro,reservoir,0,1,2
31,Finland_RESERVOIR,Finland_RESERVOIR,3,Finland,hydro,reservoir,0,1,1
32,Latvia_RESERVOIR,Latvia_RESERVOIR,4,Latvia,hydro,reservoir,0,1,2
33,Lithuania_RESERVOIR,Lithuania_RESERVOIR,5,Lithuania,hydro,reservoir,0,1,2
34,Sweden_RESERVOIR,Sweden_RESERVOIR,6,Sweden,hydro,reservoir,16334,1,1
35,Norway_RESERVOIR,Norway_RESERVOIR,7,Norway,hydro,reservoir,26683,1,1